PRICE,BEDS,TYPE,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,NEIGHBORHOOD,PRICE_PER_SQFT
315000.0,2.0,Condo,2.0,1400.0,40.761255,-73.9744834,10022,Manhattan,Gramercy Park - Murray Hill,225.0
260000.0,4.0,House,2.0,2015.0,40.5418051,-74.1961086,10312,Staten Island,South Beach - Tottenville,129.03225806451613
69000.0,3.0,Condo,1.0,445.0,40.7613979,-73.9746128,10022,Manhattan,Gramercy Park - Murray Hill,155.0561797752809
690000.0,5.0,House,2.0,4004.0,40.6743632,-73.9587248,11238,Brooklyn,Bedford Stuyvesant - Crown Heights,172.32767232767233
899500.0,2.0,Condo,2.0,2184.207862,40.809448,-73.946777,10027,Manhattan,Central Harlem - Morningside Heights,411.8197794491777
265000.0,1.0,Co-op,1.0,750.0,40.8215857,-73.8740892,10473,Bronx,Pelham - Throgs Neck,353.3333333333333
440000.0,2.0,Co-op,1.0,978.0,40.6157378,-73.9696944,11230,Brooklyn,Borough Park,449.89775051124747
375000.0,2.0,Co-op,1.0,850.0,40.8248699,-73.9229829,10451,Bronx,High Bridge - Morrisania,441.1764705882353
689000.0,3.0,Townhouse,2.5,1162.0,40.6249962,-74.1553058,10303,Staten Island,Port Richmond,592.9432013769364
259000.0,3.0,Co-op,1.0,2184.207862,40.7531191,-73.8818757,11372,Queens,West Queens,118.57845789587218
430000.0,2.0,Co-op,2.0,2184.207862,40.7438639,-73.8745722,11373,Queens,West Queens,196.8677100201739
895000.0,3.0,Co-op,1.0,2184.207862,40.7382981,-74.0058899,10014,Manhattan,Greenwich Village - SoHo,409.75953597222235
549000.0,2.0,Condo,2.0,1000.0,40.5406209,-74.1671632,10312,Staten Island,South Beach - Tottenville,549.0
975000.0,3.0,Townhouse,2.0,1734.0,40.7607676,-73.9056672,11377,Queens,West Queens,562.2837370242214
199000.0,3.0,Co-op,1.0,325.0,40.6181029,-74.0369047,11209,Brooklyn,Bensonhurst - Bay Ridge,612.3076923076923
350000.0,1.0,Co-op,1.0,700.0,40.9073699,-73.9065578,10471,Bronx,Kingsbridge - Riverdale,500.0
599000.0,2.0,Condo,2.0,974.0,40.7324713,-73.8670804,11374,Queens,Ridgewood - Forest Hills,614.9897330595483
639999.0,3.0,House,2.0,1260.0,40.6207403,-74.1114362,10301,Staten Island,Stapleton - St. George,507.9357142857143
1300000.0,2.0,Condo,2.0,1244.0,40.7202429,-73.8430513,11375,Queens,Ridgewood - Forest Hills,1045.016077170418
1100000.0,6.0,Multi-family home,3.0,2837.0,40.8343936,-73.8221101,10465,Bronx,Pelham - Throgs Neck,387.73352132534365
349900.0,1.0,Condo,1.0,651.0,40.5902064,-74.0958034,10304,Staten Island,Stapleton - St. George,537.4807987711214
750000.0,2.0,House,2.0,1330.0,40.5039785,-74.2396555,10307,Staten Island,South Beach - Tottenville,563.9097744360902
1690000.0,6.0,Multi-family home,4.0,2200.0,40.710749,-73.809486,11435,Queens,Jamaica,768.1818181818181
325000.0,1.0,Co-op,1.0,2184.207862,40.7505078,-73.8851355,11372,Queens,West Queens,148.79536222455002
2250000.0,12.0,Multi-family home,2.5,5670.0,40.602654,-73.9869399,11223,Brooklyn,Coney Island - Sheepshead Bay,396.8253968253968
230000.0,1.0,Co-op,1.0,2184.207862,40.7557689,-73.8734231,11372,Queens,West Queens,105.30133326660463
1299888.0,10.0,Multi-family home,6.0,3156.0,40.6155667,-74.0869554,10304,Staten Island,Stapleton - St. George,411.8783269961977
925000.0,5.0,Multi-family home,2.0,2750.0,40.8242389,-73.8173809,10465,Bronx,Pelham - Throgs Neck,336.3636363636364
329000.0,1.0,Condo,2.0,794.0,40.6210398,-74.1504313,10314,Staten Island,Willowbrook,414.35768261964733
1300000.0,10.0,Multi-family home,8.0,5040.0,40.6274381,-74.1581613,10303,Staten Island,Port Richmond,257.93650793650795
848000.0,5.0,Multi-family home,4.0,2080.0,40.6615475,-73.898309,11207,Brooklyn,East New York,407.6923076923077
279000.0,1.0,Co-op,1.0,750.0,40.6179165,-73.9546305,11230,Brooklyn,Borough Park,372.0
528000.0,1.0,Condo,1.0,602.0,40.6275896,-74.0016198,11219,Brooklyn,Borough Park,877.0764119601329
1299888.0,11.0,Multi-family home,4.0,3156.0,40.6155667,-74.0869554,10304,Staten Island,Stapleton - St. George,411.8783269961977
275000.0,1.0,Co-op,1.0,2184.207862,40.7528774,-73.8211834,11355,Queens,Flushing - Clearview,125.90376803615771
1165000.0,1.0,Condo,1.0,815.0,40.711969,-73.9649468,11211,Brooklyn,Greenpoint,1429.4478527607362
1199000.0,6.0,Multi-family home,5.0,3290.0,40.5159256,-74.2361135,10307,Staten Island,South Beach - Tottenville,364.4376899696049
700000.0,6.0,Multi-family home,2.0,3053.0,40.852813,-73.9176871,10453,Bronx,Crotona - Tremont,229.28267278087128
