zipcode,avg_home_value,median_household_income,median_age
11368,457834.6144292359,62254.0,34.3
11385,797132.8645251795,77350.0,36.2
11208,669321.3076262424,49679.0,33.2
11236,643293.4833042437,73562.0,39.1
10467,328464.4227381598,42639.0,34.4
11373,470100.7143932532,62072.0,37.4
11226,703403.5174605794,66173.0,35.4
11207,585003.5316398011,45616.0,35.0
10025,967423.4753812852,103440.0,40.0
11214,682309.9643924449,58487.0,40.5
11234,732116.8346050605,86185.0,41.7
10314,659685.2792515947,94578.0,42.1
11220,633687.7102580082,57046.0,35.9
11219,895792.8409975659,44450.0,26.2
11206,837084.4230029345,49013.0,29.7
11221,923624.27545986,66923.0,32.1
10456,399390.1264715506,31166.0,32.5
11223,1002721.9263206176,57281.0,37.9
11230,790165.80856846,61017.0,35.2
10458,311253.1113550579,38768.0,29.7
11377,511838.3517546072,66325.0,40.4
11235,555799.207872596,58669.0,45.9
11229,727882.9672651339,69076.0,41.0
11233,830813.1100116872,52380.0,34.1
10453,554413.830095612,34860.0,33.2
11204,1028440.7108371372,58850.0,34.9
10468,249592.99141576252,40138.0,33.3
11355,551069.8628817775,46963.0,44.9
11203,687704.1528401802,61414.0,41.1
10457,436527.88967453904,38066.0,30.6
10452,263771.4041973439,33877.0,32.2
10469,638015.8999395889,70415.0,40.3
10029,682776.4000400044,33901.0,38.4
11218,833866.6653982704,81857.0,36.4
11212,601094.1133377008,30733.0,38.4
10462,211855.39063796552,59032.0,35.5
10002,927411.9470448722,37093.0,43.7
10466,605340.2099496259,62918.0,37.2
11375,480045.0059310165,96321.0,44.1
11691,628558.0379591987,54877.0,32.1
11215,1319118.709358632,156930.0,37.0
10463,321247.7707764849,63048.0,41.9
11209,708047.1494987374,84145.0,40.5
11213,921799.7912585816,48896.0,34.5
11201,1225932.971405985,148282.0,35.3
11210,857035.1828430956,77378.0,37.7
11372,404736.5454786149,62910.0,40.7
11432,821031.4791578641,66246.0,38.4
10027,776208.663533878,58435.0,31.0
10472,623661.5431008345,36730.0,32.9
11434,644147.9256141302,66546.0,40.3
11211,1091816.1088662308,89091.0,31.5
10312,699752.6599362451,100875.0,40.6
10024,1360938.5877276014,153177.0,41.5
10032,545515.9181453651,55059.0,37.1
11216,1017008.4642847084,84661.0,34.2
10023,1307115.485724477,136109.0,43.2
10033,567701.9208479588,71630.0,36.9
11238,1101104.2965803582,114427.0,35.3
11435,526569.4045987407,71346.0,36.2
10460,392246.6297430031,31504.0,33.9
10031,512836.7114845957,57180.0,35.4
11225,931466.2020067543,68542.0,36.1
10128,1039491.7948524144,127919.0,42.1
10473,518734.1906081527,48212.0,38.0
10009,919452.095309157,77551.0,37.0
11354,614267.1393892464,52273.0,46.6
10306,691139.8753323121,88687.0,42.5
10003,1282302.6503150556,137533.0,32.0
11420,683825.170769705,89027.0,39.9
10451,330177.2855375042,33945.0,34.3
10016,893571.8910350156,136431.0,32.7
10461,665019.8316575629,61087.0,38.9
10459,436672.40427685616,36631.0,33.2
10011,1419295.0666535024,139343.0,42.8
11205,872007.3000226676,68607.0,29.5
11419,695247.1178020636,84245.0,41.0
11237,814582.4335222882,65908.0,31.7
11224,536372.7081919638,37241.0,48.2
11374,410340.97924912185,79221.0,41.2
11228,1114462.0605801044,77189.0,42.4
